concept_id,alias,priority
early_year_knowledge_domain,early year,100
early_years_population,early years,100
early_years_population,copii de vârstă timpurie,94
earth_knowledge_domain,earth,100
ebusiness_work_object,ebusiness,100
economic,economic,100
economics,economics,100
edge_bander_work_object,edge bander,100
edible_oil_knowledge_domain,edible oil,90
edible_oil_product,edible oil,100
educational,educational,100
educational,alfabetizare,94
educational,biologie,94
educational,chimie,94
educational,circ,94
educational,circus,94
educational,clasic,94
educational,economie,94
educational,educatie,94
educational,education,94
educational,filosofie,94
educational,fizica,94
educational,hariduslik,94
educational,istorie,94
educational,kutseoppe,94
educational,literatura,94
educational,matematica,94
educational,modernism,94
educational,performing,94
educational,predare,94
educational,religie,94
